"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Verify Continue button is visible and clickable","Stashfin Web Automation Suite","Fri Jul 11 08:30:44 IST 2025","skipped","Fri Jul 11 08:30:44 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC06_verifyContinueButtonVisibleAndClickable"
"","1","Verify all input fields are visible","Stashfin Web Automation Suite","Fri Jul 11 08:29:44 IST 2025","skipped","Fri Jul 11 08:29:44 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC02_verifyAllInputFieldsVisible"
"","1","Verify continue button is visible","Stashfin Web Automation Suite","Fri Jul 11 08:29:46 IST 2025","skipped","Fri Jul 11 08:29:46 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC04_verifyContinueButtonVisible"
"","1","Verify confirmation checkbox is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:05 IST 2025","skipped","Fri Jul 11 08:32:05 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC05_verifyConfirmationCheckboxVisible"
"","1","Verify continue button is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:05 IST 2025","skipped","Fri Jul 11 08:32:05 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC06_verifyContinueButtonVisible"
"","0","setUp","Stashfin Web Automation Suite","Fri Jul 11 08:31:21 IST 2025","broken","Fri Jul 11 08:31:21 IST 2025","testClassPool.AAOtpPageTest","Stashfin Web Test Run","testClassPool.AAOtpPageTest","setUp"
"","2","testFillFormWithSelfOwnedAndContinue","Stashfin Web Automation Suite","Fri Jul 11 08:29:05 IST 2025","skipped","Fri Jul 11 08:29:05 IST 2025","testClassPool.JustAFewMoreDetailsToProccedTest","Stashfin Web Test Run","testClassPool.JustAFewMoreDetailsToProccedTest","testFillFormWithSelfOwnedAndContinue"
"","0","Verify X button on bank detail is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:07 IST 2025","skipped","Fri Jul 11 08:32:07 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC08_verifyXButtonOnBankDetailVisible"
"","0","Verify error messages for required fields","Stashfin Web Automation Suite","Fri Jul 11 08:32:18 IST 2025","skipped","Fri Jul 11 08:32:18 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC19_verifyErrorMessagesForRequiredFields"
"","1","Verify bank details title is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:06 IST 2025","skipped","Fri Jul 11 08:32:06 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC07_verifyBankDetailsTitleVisible"
